county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,7.2,11.7,481.12,High,2022-07-21
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,11.5,18.6,402.35,High,2022-07-21
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,6.8,12.3,237.61,High,2022-07-21
Orange County,06059,California,3175692,825,"Orange, CA",3175692,5.8,15.7,319.05,High,2022-07-21
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,7.2,10.0,375.81,High,2022-07-21
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,6.8,13.7,276.37,High,2022-07-21
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,9.1,15.9,272.11,High,2022-07-21
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,6.8,13.0,342.84,High,2022-07-21
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,9.1,15.9,222.46,High,2022-07-21
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,11.5,18.6,407.37,High,2022-07-21
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,5.0,6.6,275.16,Medium,2022-07-21
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,2.5,15.4,343.70,High,2022-07-21
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,8.0,16.9,206.57,High,2022-07-21
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,10.0,21.2,273.21,High,2022-07-21
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,10.0,21.2,334.56,High,2022-07-21
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,2.5,15.4,90.00,Medium,2022-07-21
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,9.1,15.9,211.13,High,2022-07-21
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,9.1,15.9,257.53,High,2022-07-21
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,8.3,13.1,301.52,High,2022-07-21
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,6.8,10.6,324.43,High,2022-07-21
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,8.3,9.2,360.89,Medium,2022-07-21
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,8.0,16.9,282.14,High,2022-07-21
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,8.5,21.4,350.02,High,2022-07-21
Tulare County,06107,California,466195,789,"Tulare, CA",466195,9.4,10.7,385.68,High,2022-07-21
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,8.3,13.1,276.72,High,2022-07-21
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,6.8,13.0,345.98,High,2022-07-21
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,11.5,18.6,482.54,High,2022-07-21
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,2.9,12.2,261.67,High,2022-07-21
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,7.6,9.2,299.72,Medium,2022-07-21
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,10.2,8.8,206.51,High,2022-07-21
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,2.9,12.2,457.28,High,2022-07-21
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,7.2,10.0,374.61,High,2022-07-21
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,7.5,14.4,361.42,High,2022-07-21
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,7.2,10.8,301.30,High,2022-07-21
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,7.2,10.8,308.40,High,2022-07-21
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,7.5,14.4,349.40,High,2022-07-21
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,6.7,13.1,195.23,Medium,2022-07-21
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,10.0,21.2,296.19,High,2022-07-21
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,10.0,21.2,565.37,High,2022-07-21
Ventura County,06111,California,846006,790,"Ventura, CA",846006,8.5,15.5,322.57,High,2022-07-21
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,8.3,13.1,215.66,High,2022-07-21
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,9.6,14.8,1107.44,High,2022-07-21
Kern County,06029,California,900202,807,"Kern, CA",900202,10.2,12.2,359.70,High,2022-07-21
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,8.5,21.4,147.04,High,2022-07-21
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,7.5,14.4,335.44,High,2022-07-21
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,8.0,16.9,251.92,High,2022-07-21
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,7.5,12.7,430.13,High,2022-07-21
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,6.8,10.6,322.61,High,2022-07-21
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,8.5,21.4,247.67,High,2022-07-21
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,10.2,8.8,133.11,Medium,2022-07-21
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,6.8,12.3,257.52,High,2022-07-21
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,7.9,13.8,276.57,High,2022-07-21
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,6.8,13.7,279.66,High,2022-07-21
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,6.9,15.6,0.00,Medium,2022-07-14
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,7.7,13.8,225.38,High,2022-07-14
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,4.1,10.1,143.87,Medium,2022-07-14
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,7.7,13.8,186.67,Medium,2022-07-14
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,6.6,11.5,696.41,High,2022-07-14
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,6.2,11.0,369.58,High,2022-07-14
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,10.4,17.2,345.14,High,2022-07-14
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,7.0,11.9,254.61,High,2022-07-14
Orange County,06059,California,3175692,825,"Orange, CA",3175692,5.6,15.2,299.21,High,2022-07-14
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,6.3,8.2,331.50,Medium,2022-07-14
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,4.1,10.1,280.50,High,2022-07-14
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,9.2,17.8,606.35,High,2022-07-14
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,6.3,12.2,350.02,High,2022-07-14
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,9.2,17.8,203.79,High,2022-07-14
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,10.4,17.2,355.62,High,2022-07-14
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,4.2,4.4,230.90,Medium,2022-07-14
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,1.9,9.2,415.77,Medium,2022-07-14
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,8.2,15.5,203.46,High,2022-07-14
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,9.9,17.8,348.78,High,2022-07-14
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,9.9,17.8,265.77,High,2022-07-14
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,1.9,9.2,186.93,Low,2022-07-14
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,9.2,17.8,216.15,High,2022-07-14
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,9.2,17.8,262.88,High,2022-07-14
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,6.6,11.1,272.13,High,2022-07-14
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,6.3,10.7,354.30,High,2022-07-14
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,7.7,6.6,327.58,Medium,2022-07-14
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,8.2,15.5,337.32,High,2022-07-14
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,6.0,12.9,276.76,High,2022-07-14
Tulare County,06107,California,466195,789,"Tulare, CA",466195,9.3,15.0,349.00,High,2022-07-14
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,6.6,11.1,244.01,High,2022-07-14
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,6.3,12.2,329.51,High,2022-07-14
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,10.4,17.2,392.31,High,2022-07-14
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,4.8,0.0,117.75,Low,2022-07-14
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,10.5,10.4,284.73,High,2022-07-14
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,8.2,8.8,240.59,Medium,2022-07-14
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,4.8,0.0,228.64,Medium,2022-07-14
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,6.3,8.2,312.24,Medium,2022-07-14
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,7.2,13.2,391.67,High,2022-07-14
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,7.7,10.3,288.93,High,2022-07-14
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,7.7,10.3,276.37,High,2022-07-14
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,7.2,13.2,373.21,High,2022-07-14
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,6.9,15.1,133.21,Medium,2022-07-14
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,9.9,17.8,287.29,High,2022-07-14
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,9.9,17.8,440.54,High,2022-07-14
Ventura County,06111,California,846006,790,"Ventura, CA",846006,7.4,14.9,302.36,High,2022-07-14
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,6.6,11.1,172.09,Medium,2022-07-14
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,8.9,26.0,729.90,High,2022-07-14
Kern County,06029,California,900202,807,"Kern, CA",900202,9.7,14.9,273.61,High,2022-07-14
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,6.0,12.9,113.11,Medium,2022-07-14
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,7.2,13.2,310.33,High,2022-07-14
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,8.2,15.5,262.08,High,2022-07-14
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,6.6,11.5,383.01,High,2022-07-14
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,6.3,10.7,373.66,High,2022-07-14
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,6.0,12.9,207.13,High,2022-07-14
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,8.2,8.8,33.28,Low,2022-07-14
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,7.0,11.9,254.48,High,2022-07-14
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,7.7,13.8,213.57,High,2022-07-14
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,4.1,10.1,261.86,High,2022-07-14
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,6.0,12.2,329.80,High,2022-07-07
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.5,15.4,274.32,High,2022-07-07
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,9.8,14.4,317.29,High,2022-07-07
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,5.8,10.3,219.09,High,2022-07-07
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,4.0,27.7,421.31,High,2022-07-07
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,8.3,12.9,206.57,High,2022-07-07
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,8.4,12.9,319.71,High,2022-07-07
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,8.4,12.9,314.03,High,2022-07-07
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,4.0,27.7,270.01,High,2022-07-07
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.5,15.4,253.56,High,2022-07-07
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.5,15.4,283.75,High,2022-07-07
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,6.3,12.0,293.91,High,2022-07-07
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,6.2,10.2,395.53,High,2022-07-07
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,8.2,8.1,345.52,Medium,2022-07-07
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,8.3,12.9,537.48,High,2022-07-07
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,5.0,8.9,154.66,Low,2022-07-07
Tulare County,06107,California,466195,789,"Tulare, CA",466195,7.5,15.2,328.40,High,2022-07-07
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,6.3,12.0,178.63,Medium,2022-07-07
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,7.5,12.2,560.91,High,2022-07-07
Kern County,06029,California,900202,807,"Kern, CA",900202,7.3,10.8,345.70,High,2022-07-07
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,5.0,8.9,169.66,Low,2022-07-07
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,6.6,13.7,302.72,High,2022-07-07
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,8.3,12.9,314.35,High,2022-07-07
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,5.7,8.9,365.60,Medium,2022-07-07
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,6.2,10.2,389.88,High,2022-07-07
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,5.0,8.9,234.34,Medium,2022-07-07
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,7.5,9.7,299.50,Medium,2022-07-07
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,6.8,11.7,264.60,High,2022-07-07
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,6.2,8.0,219.72,Medium,2022-07-07
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,5.4,8.1,282.20,Medium,2022-07-07
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,6.6,12.3,0.00,Medium,2022-07-07
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,6.2,8.0,258.23,Medium,2022-07-07
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,5.4,8.1,213.49,Medium,2022-07-07
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,6.2,8.0,207.80,Medium,2022-07-07
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,5.7,8.9,480.64,Medium,2022-07-07
Los Angeles County,06037,California,10039107,723,"Los Angeles (Los Angeles), CA - Orange, CA",13214799,4.8,9.7,387.07,Medium,2022-07-07
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,9.8,14.4,335.61,High,2022-07-07
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,6.8,11.7,283.59,High,2022-07-07
Orange County,06059,California,3175692,723,"Los Angeles (Los Angeles), CA - Orange, CA",13214799,4.8,9.7,293.23,Medium,2022-07-07
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,5.0,7.2,341.45,Medium,2022-07-07
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,5.4,8.1,301.12,Medium,2022-07-07
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,8.5,15.4,385.94,High,2022-07-07
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,6.3,12.0,322.00,High,2022-07-07
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,6.0,12.2,350.66,High,2022-07-07
